N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps
100,0.0,0,929,35,96.8226,0.0576104,-4.99153e-05,0.000199247,0.0243977,3.52849e-05,0.00192391,7.50196e-06,0.0796678,5.97166e-05,0.0100189,1.33471e-05,0.000299426,9.05866e-07,105200000000
300,0.0,0,4910,73,486.19,0.358418,-2.44331e-05,8.85367e-05,0.00679411,9.75303e-06,0.000143057,4.98252e-07,0.0460452,5.13609e-05,0.00333541,6.29718e-06,3.32766e-05,1.20411e-07,105900000000
600,0.0,0,13924,120,1354.86,1.13287,-6.26387e-06,3.45978e-05,0.0031292,2.32233e-06,2.99387e-05,5.03099e-08,0.0325604,1.37318e-05,0.001667,1.34857e-06,8.3376e-06,1.52897e-08,482200000000
1200,0.0,0,39380,225,0.0,,4.24873e-05,5.25734e-05,0.00146765,2.21113e-06,6.53042e-06,2.12384e-08,0.0230179,2.28192e-05,0.000832685,1.58505e-06,2.0791e-06,7.58831e-09,373770000000
100,0.1,0,925,33,96.355,0.0686534,-0.163649,0.000178854,0.0558677,0.000100244,0.00860202,4.15854e-05,0.093606,7.44697e-05,0.0137804,2.06183e-05,0.000562394,1.83052e-06,95900000000
300,0.1,0,4879,75,483.37,0.495968,-0.165075,9.59952e-05,0.0354488,3.44841e-05,0.00233232,4.75053e-06,0.054102,4.31892e-05,0.00459701,6.6368e-06,6.28955e-05,2.24086e-07,100200000000
600,0.1,0,13825,123,1345.54,0.914906,-0.16526,4.11932e-05,0.0310977,1.40693e-05,0.00141979,1.21069e-06,0.0383351,1.57688e-05,0.00230857,1.73973e-06,1.5931e-05,2.79188e-08,502200000000
1200,0.1,0,39154,213,0.0,,-0.165459,5.41321e-05,0.0291616,1.86338e-05,0.00105452,1.34648e-06,0.0270909,2.27263e-05,0.00115314,1.89005e-06,3.98775e-06,1.42645e-08,366930000000
100,0.2,0,900,34,94.1775,0.0640668,-0.364313,0.000209376,0.167412,0.000177393,0.0503975,0.000108416,0.113735,8.86823e-05,0.0202835,3.22666e-05,0.00121043,4.49723e-06,99600000000
300,0.2,0,4748,79,470.684,0.38521,-0.368083,0.000119594,0.145457,8.84202e-05,0.0268942,3.231e-05,0.0658365,6.52141e-05,0.00680005,1.26644e-05,0.000137585,5.98193e-07,101100000000
600,0.2,0,13440,119,1311.17,1.08275,-0.369103,4.86673e-05,0.14089,3.84229e-05,0.0224582,1.29025e-05,0.0466305,1.86795e-05,0.00341397,2.61213e-06,3.48369e-05,6.58517e-08,480200000000
1200,0.2,0,38026,206,0.0,,-0.369575,7.8014e-05,0.138788,6.03349e-05,0.0204811,1.88203e-05,0.0329888,2.76037e-05,0.00170826,2.64138e-06,8.73333e-06,2.6054e-08,356340000000
100,0.3,0,840,34,89.3409,0.0770461,-0.616704,0.000286658,0.422518,0.000382361,0.249621,0.000434664,0.145384,0.000145783,0.0329685,5.63107e-05,0.0031443,1.09609e-05,97400000000
300,0.3,0,4434,69,443.483,0.487289,-0.624045,0.000112551,0.401844,0.00014171,0.181442,0.000128977,0.0843217,6.72182e-05,0.011145,1.54122e-05,0.000368061,1.1522e-06,99400000000
600,0.3,0,12537,112,1229.87,0.963446,-0.625805,5.55395e-05,0.397483,6.93157e-05,0.1673,5.74854e-05,0.0597474,2.29469e-05,0.00559989,3.90416e-06,9.34506e-05,1.43781e-07,486300000000
1200,0.3,0,35570,205,0.0,,-0.626637,8.13561e-05,0.395465,0.000101783,0.160809,8.22322e-05,0.0422518,2.99444e-05,0.0028024,3.96081e-06,2.34726e-05,6.75315e-08,342190000000
100,0.31,0,839,35,0.0,,-0.64575,0.000108458,0.459963,0.000146268,0.290484,0.000192327,0.149564,5.75172e-05,0.0348391,2.52024e-05,0.00349525,6.05724e-06,375790000000
300,0.31,0,4388,78,0.0,,-0.653486,6.95435e-05,0.439768,9.22567e-05,0.215807,9.15358e-05,0.0868997,5.47449e-05,0.0118275,1.16827e-05,0.000414072,8.4166e-07,267140000000
600,0.31,0,12439,114,0.0,,-0.655252,6.45032e-05,0.435343,8.5044e-05,0.199959,7.77501e-05,0.0615035,3.07798e-05,0.00593738,5.47493e-06,0.00010529,2.61434e-07,330870000000
1200,0.31,0,35208,212,0.0,,-0.655961,8.23959e-05,0.433139,0.000108223,0.192554,9.59302e-05,0.0435281,3.41193e-05,0.0029736,4.00035e-06,2.64306e-05,7.49954e-08,352430000000
100,0.32,0,826,35,0.0,,-0.675321,0.000111202,0.499938,0.00015621,0.337657,0.000217258,0.153908,6.53372e-05,0.0368736,2.83899e-05,0.00390744,6.78044e-06,379890000000
300,0.32,0,4338,73,0.0,,-0.683474,7.44845e-05,0.480173,0.000102256,0.255659,0.000107716,0.0895614,5.42747e-05,0.0125667,1.33126e-05,0.000467531,9.11569e-07,275020000000
600,0.32,0,12295,114,0.0,,-0.685479,7.37875e-05,0.476033,0.00010303,0.238329,0.000105698,0.0633707,2.69931e-05,0.00630009,5.12324e-06,0.000118274,2.20841e-07,320050000000
1200,0.32,0,34935,200,0.0,,-0.686401,8.97294e-05,0.474083,0.000123108,0.230326,0.000118453,0.0448558,3.08752e-05,0.00315755,4.32439e-06,2.97698e-05,8.61689e-08,340460000000
100,0.33,0,812,35,0.0,,-0.705575,0.00014911,0.542644,0.000216856,0.391803,0.000324113,0.158491,6.43681e-05,0.039065,2.81984e-05,0.00437027,6.71244e-06,367050000000
300,0.33,0,4288,68,0.0,,-0.714482,7.79711e-05,0.52382,0.000111592,0.302366,0.000128543,0.0922397,4.11413e-05,0.0133187,1.09543e-05,0.000523733,1.02761e-06,268040000000
600,0.33,0,12160,124,0.0,,-0.716677,8.50522e-05,0.519943,0.000121686,0.283496,0.000128553,0.0654091,3.05796e-05,0.0067082,6.69805e-06,0.000133988,3.36263e-07,331760000000
1200,0.33,0,34329,198,0.0,,-0.717582,8.57069e-05,0.517938,0.000123248,0.274507,0.000130842,0.0462482,3.0828e-05,0.00335744,4.15181e-06,3.36904e-05,8.12126e-08,345870000000
100,0.34,0,808,31,0.0,,-0.73689,0.000118468,0.588751,0.000172625,0.454625,0.000275262,0.163752,6.26462e-05,0.0416711,3.38781e-05,0.00495815,1.02632e-05,377690000000
300,0.34,0,4236,77,0.0,,-0.746326,0.000103357,0.570705,0.000148885,0.357063,0.000174004,0.0952502,6.50449e-05,0.0142115,1.85151e-05,0.000597042,1.51529e-06,273080000000
600,0.34,0,11971,113,0.0,,-0.748612,7.18146e-05,0.566912,0.000108385,0.336134,0.000129152,0.067466,3.56259e-05,0.0071386,5.78246e-06,0.000151588,2.69611e-07,323360000000
1200,0.34,0,34028,199,0.0,,-0.749856,9.87511e-05,0.565387,0.000148426,0.32669,0.000170748,0.0477864,2.6803e-05,0.00358342,3.8639e-06,3.83359e-05,8.98091e-08,352230000000
100,0.35,0,798,32,0.0,,-0.769065,0.000114343,0.63823,0.000183976,0.52715,0.000324934,0.169185,6.32783e-05,0.0444132,2.9937e-05,0.00560471,8.69436e-06,367720000000
300,0.35,0,4171,72,0.0,,-0.779246,8.55397e-05,0.62129,0.00013706,0.421058,0.000187931,0.0985247,5.39758e-05,0.0151883,1.56794e-05,0.000680029,1.38658e-06,271150000000
600,0.35,0,11840,111,0.0,,-0.781656,7.37954e-05,0.617664,0.000115761,0.398035,0.000148345,0.069831,3.49033e-05,0.00764469,7.20005e-06,0.000173947,3.54358e-07,326850000000
1200,0.35,0,33419,196,0.0,,-0.782953,9.36256e-05,0.616205,0.00014669,0.387579,0.000183536,0.0494111,2.91726e-05,0.00383096,4.35909e-06,4.38044e-05,1.05139e-07,349430000000
100,0.36,0,784,30,0.0,,-0.802245,0.000113095,0.691499,0.000186426,0.611285,0.00034384,0.174951,7.11413e-05,0.0474471,3.53675e-05,0.00637583,1.00147e-05,372290000000
300,0.36,0,4107,68,0.0,,-0.813236,8.64771e-05,0.675823,0.000147472,0.495975,0.000230407,0.102071,5.11083e-05,0.0162928,1.68129e-05,0.000780932,1.8897e-06,271220000000
600,0.36,0,11631,111,0.0,,-0.8158,9.79118e-05,0.672396,0.000158284,0.470621,0.000213798,0.0723513,3.81545e-05,0.00820601,7.38988e-06,0.000200189,3.66279e-07,324410000000
1200,0.36,0,32923,222,0.0,,-0.817226,0.000100432,0.671147,0.000164866,0.459279,0.000225966,0.0511961,3.08201e-05,0.00411294,4.94791e-06,5.0535e-05,1.34883e-07,358190000000
100,0.37,0,770,36,0.0,,-0.836435,0.000124616,0.748636,0.000235147,0.708079,0.000519634,0.181267,7.88645e-05,0.0508861,4.00683e-05,0.00729874,1.20571e-05,370620000000
300,0.37,0,4032,67,0.0,,-0.848206,9.06824e-05,0.73431,0.000154571,0.583021,0.000247836,0.105866,5.23905e-05,0.0175219,1.734e-05,0.00090133,2.16011e-06,265520000000
600,0.37,0,11452,113,0.0,,-0.850958,7.94394e-05,0.731203,0.000136467,0.555397,0.000208274,0.0750733,3.94905e-05,0.00883408,8.43503e-06,0.000231692,4.93342e-07,336140000000
1200,0.37,0,32460,211,0.0,,-0.852526,0.000104986,0.730194,0.000179159,0.543105,0.000264534,0.0531064,2.8491e-05,0.00442519,4.48761e-06,5.84774e-05,1.33959e-07,346490000000
100,0.38,0,754,34,0.0,,-0.87173,0.000134214,0.810067,0.000254283,0.819709,0.000495715,0.188041,7.41631e-05,0.0546641,3.99241e-05,0.00837281,1.45006e-05,357450000000
300,0.38,0,3961,68,0.0,,-0.884268,8.17558e-05,0.797242,0.000147275,0.684617,0.000259907,0.109891,5.40378e-05,0.0188735,1.71238e-05,0.00104572,2.11637e-06,272110000000
600,0.38,0,11204,113,0.0,,-0.887442,0.000148844,0.794866,0.000265851,0.655121,0.000435417,0.0779542,3.27981e-05,0.00951819,7.60043e-06,0.000268724,4.75536e-07,322360000000
1200,0.38,0,31762,193,0.0,,-0.888927,0.000141439,0.793705,0.000253226,0.641139,0.000411368,0.0552363,2.80433e-05,0.0047858,4.57831e-06,6.82826e-05,1.42331e-07,360430000000
100,0.39,0,741,33,0.0,,-0.908023,0.000131397,0.875989,0.0002497,0.949111,0.000574721,0.195363,7.41574e-05,0.0589153,4.10594e-05,0.00967941,1.43466e-05,362110000000
300,0.39,0,3879,71,0.0,,-0.921949,8.17169e-05,0.865793,0.000153254,0.804588,0.000291211,0.114503,5.71404e-05,0.0204803,1.87345e-05,0.00122877,2.36642e-06,267770000000
600,0.39,0,10971,106,0.0,,-0.925211,7.82683e-05,0.863563,0.000145875,0.771882,0.000261434,0.0812298,3.83306e-05,0.0103328,8.95292e-06,0.000316205,5.59195e-07,331460000000
1200,0.39,0,31104,188,0.0,,-0.926635,0.000110744,0.862282,0.000205464,0.756065,0.000358865,0.0575391,2.90402e-05,0.00519217,5.0164e-06,8.02951e-05,1.70885e-07,356990000000
100,0.4,0,727,29,79.4262,0.0534618,-0.945127,0.00026688,0.945941,0.000527452,1.09584,0.00121543,0.203559,0.00017479,0.0638337,9.56582e-05,0.0112974,3.24498e-05,96500000000
300,0.4,0,3786,64,385.651,0.348345,-0.96077,0.000188852,0.939376,0.000366473,0.943949,0.000732515,0.119301,9.09303e-05,0.0222281,3.09941e-05,0.00144577,4.31416e-06,103700000000
600,0.4,0,10728,106,1065.51,1.0106,-0.964302,7.79395e-05,0.937701,0.000149644,0.908714,0.000282713,0.0847615,3.24672e-05,0.0112518,7.53685e-06,0.000374692,6.09043e-07,487300000000
1200,0.4,0,30452,192,0.0,,-0.966248,0.000157461,0.937404,0.000306971,0.892885,0.000590167,0.0600248,3.29714e-05,0.00565126,5.57555e-06,9.515e-05,2.26917e-07,351800000000
100,0.41,0,714,27,0.0,,-0.984592,0.000146323,1.02359,0.000284418,1.27162,0.000713555,0.212219,9.08158e-05,0.0692599,5.50609e-05,0.0131832,2.07761e-05,360530000000
300,0.41,0,3701,69,0.0,,-1.00111,0.000118254,1.01908,0.000230276,1.10761,0.000461604,0.124877,6.22788e-05,0.024324,2.1353e-05,0.00172355,3.23753e-06,268680000000
600,0.41,0,10469,107,0.0,,-1.00502,8.73113e-05,1.01817,0.000176101,1.06977,0.000368695,0.0886081,4.02708e-05,0.0122884,1.10852e-05,0.000446289,8.92895e-07,329120000000
1200,0.41,0,29601,185,0.0,,-1.00714,0.000134266,1.01825,0.000270439,1.05279,0.000554992,0.0628486,3.2464e-05,0.00619065,6.10981e-06,0.000113928,2.47979e-07,352510000000
100,0.42,0,689,33,0.0,,-1.02474,0.000124826,1.10577,0.000267163,1.47136,0.000806844,0.221978,9.71558e-05,0.0755566,5.26504e-05,0.0155306,2.17909e-05,363390000000
300,0.42,0,3599,70,0.0,,-1.04326,0.000125635,1.10586,0.000272433,1.30065,0.000667511,0.131079,7.33285e-05,0.0267634,2.67952e-05,0.00207842,3.92391e-06,265250000000
600,0.42,0,10164,104,0.0,,-1.04765,9.1654e-05,1.10601,0.000193378,1.26067,0.00044267,0.0930801,3.92346e-05,0.0135555,1.18728e-05,0.000542337,1.12922e-06,347920000000
1200,0.42,0,28803,185,0.0,,-1.04968,0.000128135,1.10592,0.000270028,1.24117,0.000607309,0.0660144,4.75556e-05,0.0068269,9.02314e-06,0.000138603,3.81374e-07,339490000000
100,0.43,0,676,32,0.0,,-1.06681,0.000162198,1.19539,0.000350069,1.70607,0.00100109,0.232813,8.84456e-05,0.0828422,5.55985e-05,0.0184391,2.43396e-05,347410000000
300,0.43,0,3489,63,0.0,,-1.08731,0.000101176,1.20037,0.000225554,1.52849,0.000593757,0.137867,6.28092e-05,0.0295927,2.46123e-05,0.00253087,4.71473e-06,271140000000
600,0.43,0,9851,104,0.0,,-1.09206,9.69305e-05,1.2014,0.000212207,1.48583,0.000522196,0.0980771,5.68593e-05,0.0150397,1.52787e-05,0.000665673,1.26445e-06,336070000000
1200,0.43,0,27805,184,0.0,,-1.09475,0.000133052,1.20274,0.000292001,1.46714,0.000711624,0.0695003,3.62238e-05,0.00757112,7.64011e-06,0.000170492,3.74552e-07,353220000000
100,0.44,0,650,29,0.0,,-1.11024,0.000139813,1.29171,0.000310417,1.97706,0.000987492,0.244408,9.9073e-05,0.0910147,6.41119e-05,0.021997,3.09035e-05,360660000000
300,0.44,0,3368,62,0.0,,-1.13329,0.000102413,1.30329,0.000234231,1.79798,0.000648303,0.145662,6.95555e-05,0.0330122,2.83726e-05,0.0031438,6.12595e-06,264630000000
600,0.44,0,9507,100,0.0,,-1.13861,0.000122977,1.30563,0.000288201,1.75291,0.000807273,0.103663,4.44034e-05,0.0167948,1.34038e-05,0.000829352,1.43652e-06,351580000000
1200,0.44,0,26836,175,0.0,,-1.14114,0.000135253,1.30666,0.000309589,1.73073,0.000820638,0.0734615,5.5023e-05,0.0084551,1.31631e-05,0.000212342,7.90644e-07,346950000000
100,0.45,0,628,28,0.0,,-1.15586,0.000133129,1.39694,0.000306738,2.29592,0.00103081,0.257984,0.000104991,0.100976,7.13076e-05,0.0266463,3.65087e-05,349540000000
300,0.45,0,3238,69,0.0,,-1.18189,9.82168e-05,1.41666,0.00023139,2.12008,0.000683151,0.154552,8.54511e-05,0.0371094,3.13774e-05,0.00394825,7.20551e-06,270490000000
600,0.45,0,9134,106,0.0,,-1.18804,0.000103939,1.42108,0.00024855,2.0746,0.000727985,0.11012,4.85455e-05,0.0189437,1.67479e-05,0.00105207,2.4369e-06,336740000000
1200,0.45,0,25748,170,0.0,,-1.19093,0.000150921,1.42302,0.000360652,2.05181,0.00104173,0.0782024,4.51268e-05,0.00957996,9.9299e-06,0.000272441,5.87489e-07,344080000000
100,0.46,0,611,29,0.0,,-1.20311,0.000148651,1.51039,0.000353195,2.666,0.00121836,0.273087,0.000109752,0.112538,7.44813e-05,0.0324803,4.11507e-05,355940000000
300,0.46,0,3103,67,0.0,,-1.2327,0.000151056,1.54031,0.000386298,2.50163,0.00130899,0.164867,8.41917e-05,0.0421433,3.96918e-05,0.00505337,1.06592e-05,265710000000
600,0.46,0,8738,96,0.0,,-1.24013,0.000111561,1.54812,0.000278558,2.46007,0.000888624,0.117767,5.1629e-05,0.0216341,1.77745e-05,0.00136665,2.65405e-06,346750000000
1200,0.46,0,24744,179,0.0,,-1.24321,0.000183978,1.55057,0.00045919,2.43529,0.0014477,0.0835554,4.8421e-05,0.0109313,1.11712e-05,0.000354117,7.17324e-07,349630000000
100,0.47,0,585,27,0.0,,-1.25295,0.00015828,1.63508,0.000382106,3.10517,0.00139741,0.290162,0.000119367,0.126225,9.27095e-05,0.0399359,5.06065e-05,348670000000
300,0.47,0,2946,55,0.0,,-1.28731,0.000105878,1.67907,0.000277242,2.96779,0.00100862,0.177136,8.83778e-05,0.0485237,4.60562e-05,0.00663745,1.58065e-05,265780000000
600,0.47,0,8274,93,0.0,,-1.29542,0.000183289,1.68892,0.000478565,2.92593,0.00166376,0.126725,8.58399e-05,0.025041,3.19043e-05,0.00182497,4.21397e-06,341820000000
1200,0.47,0,23307,169,0.0,,-1.29945,0.00018291,1.69388,0.000477121,2.90525,0.00164078,0.0902244,5.53358e-05,0.0127406,1.42242e-05,0.000479449,1.09912e-06,346070000000
100,0.48,0,553,23,0.0,,-1.30453,0.000371307,1.76919,0.000991557,3.61247,0.00431845,0.3092,0.000380125,0.142239,0.000318158,0.0494162,0.000206763,54950000000
300,0.48,0,2783,56,0.0,,-1.34507,0.000302154,1.83242,0.000824833,3.52967,0.00322681,0.191451,0.000235624,0.0565767,0.000150551,0.00894402,5.04652e-05,56660000000
600,0.48,0,7827,95,0.0,,-1.35482,0.000303768,1.84707,0.000827227,3.49738,0.00313409,0.13758,0.000146807,0.0294705,5.96332e-05,0.00251847,1.18183e-05,57870000000
1200,0.48,0,21901,198,0.0,,-1.35868,0.000458049,1.85166,0.00124874,3.47069,0.00468541,0.0981607,0.000134316,0.015072,4.12161e-05,0.000669347,4.24045e-06,57180000000
2400,0.48,0,61517,412,0.0,,-1.36191,0.000269849,1.85761,0.000736362,3.47158,0.00275656,0.0696508,5.69884e-05,0.00760328,1.17132e-05,0.000171852,5.46422e-07,353920000000
4800,0.48,0,176417,2416,0.0,,-1.36238,0.000517884,1.85751,0.00136307,3.46091,0.00483866,0.0494532,6.48177e-05,0.00383724,9.86203e-06,4.39233e-05,2.37799e-07,327530000000
6000,0.48,0,250067,5817,0.0,,-1.36242,0.000642249,1.85736,0.00173441,3.45835,0.00638381,0.0439988,8.14658e-05,0.00303883,1.10533e-05,2.76709e-05,2.15929e-07,221880000000
7200,0.48,0,336971,15605,0.0,,-1.36262,0.00104059,1.85787,0.00267496,3.4598,0.00911915,0.0401651,9.38762e-05,0.00253527,1.15356e-05,1.93208e-05,1.93542e-07,212750000000
100,0.49,0,527,25,0.0,,-1.35918,0.00045354,1.91721,0.00125002,4.21675,0.00553823,0.331676,0.000410793,0.161953,0.000323848,0.0618419,0.000206733,52670000000
300,0.49,0,2587,56,0.0,,-1.40738,0.000265299,2.00565,0.00075169,4.2248,0.00317322,0.209653,0.000235859,0.0675713,0.000138545,0.012529,5.0075e-05,54810000000
600,0.49,0,7182,90,0.0,,-1.41895,0.000404198,2.02583,0.00115655,4.20538,0.00483424,0.151392,0.00018361,0.03564,8.29461e-05,0.0036544,1.91207e-05,55740000000
1200,0.49,0,20395,190,0.0,,-1.42448,0.000496631,2.03534,0.00141909,4.19331,0.00585667,0.108246,0.000185269,0.018306,5.98592e-05,0.000982132,6.67861e-06,54920000000
2400,0.49,0,57231,371,0.0,,-1.42768,0.000318523,2.04133,0.00091092,4.19219,0.00374443,0.0769797,6.44803e-05,0.0092849,1.5121e-05,0.000255982,8.59066e-07,350350000000
4800,0.49,0,162444,2257,0.0,,-1.42886,0.000549092,2.04319,0.00154928,4.18731,0.00622688,0.0544944,9.49156e-05,0.00465971,1.56811e-05,6.49211e-05,4.15184e-07,318100000000
